slug,name,url
punkwasp,PunkWasp,https://punkwasp.neocities.org
gardenofmadeline,The Garden of Madeline,https://thegardenofmadeline.neocities.org/
darylsun,Daryl Sun,https://blog.darylsun.page/
libre-town,Lian,https://libre.town
nickolox,Nick,https://nickolox.neocities.org/
vanillabit,frogs,https://vanillabit.neocities.org/
bechnokid,Bechno Kid,https://bechnokid.neocities.org/
corvidae,corvidae,https://crisis.city/
artemisw,Artemis,https://artemisw.neocities.org/
astersarchive,Aster,https://astersarchive.neocities.org/
orion-overdrive,ORION,https://orion-overdrive.neocities.org/
yarrow,yarrow,https://yarrow.neocities.org/
screamingegg,Screaming Egg!,https://screamingegg.neocities.org/
shroomink,Shroom.Ink,https://shroom.ink
cobradile,Cobra!'s Website,https://cobradile.neocities.org/
yungwake0,Yung Wake,https://yungwake0.neocities.org/
tohweb,vita,https://thatoddhaystack.neocities.org/
deluxe,noah,https://deluxesb.neocities.org/
2044,zawieja,https://2044.neocities.org/
cogsinc,Beau,https://boothworldindustries.neocities.org/
magneticdogz,Maggie,https://magneticdogz.neocities.org/
foggybear42,spencer,https://foggybear42.neocities.org/
cloudydusk,Mo,https://cloudydusk.neocities.org/
serenegecko,serenegecko,https://serenegecko.neocities.org/
lapislabel,Lapis,https://lapislabel.net/
lovelyqats,ani,https://lovelyqats.neocities.org/
machine-cat,machine_cat in space!,https://machine-cat.space/
blek,blek!,https://blek.codes
solaria,Solaria,https://solaria.neocities.org/
killing-machine,Hank,https://killing-machine.neocities.org/
davemiller,Dave Miller,https://davemiller.neocities.org/
webwizard,Asmodeus,https://webwizard.ichi.city/
tangerinez,AJ,https://tangerinez.neocities.org/
sphinx,scrapes and bruises,https://scrapes-and-bruises.neocities.org/
ftwr,Ryan,https://followthewhiterabbit.neocities.org/
mormoroi,Strix is @ Mormoroi,https://mormoroi.com/
miserabilia,bryony,https://miserabilia.neocities.org/
ikaroll,Sango,https://ikaroll.neocities.org/
lizardinvelvetgloves,Bart,https://lizardinvelvetgloves.neocities.org/
generalnuisance,Gen,https://general-nuisance.neocities.org/
dr-worm,Worm,https://dr-worm.neocities.org/Home
melankorin,Kori,https://melankorin.net/
namebrandpb,Skippy,https://namebrandpeanutbutter.neocities.org/
puppyluv,Bug,https://puppyluv.neocities.org/
chillbro,chillbro,https://chillbro.leprd.space/
swiftred,SwiftRed,http://swiftred.neocities.org/
index,Al the raven,https://al-the-raven.neocities.org/
milkteamoon,Milk,https://milkteamoon.neocities.org/
frognet,Frog,https://frognet.neocities.org/
norisowl,Noris,https://norisowl.neocities.org/
girlfailure,jay,https://girlfailure.neocities.org/
iztopher,Darwin,https://iztopher.neocities.org
webmaster,webmaster,https://lopster.neocities.org/
grulovia,junior,https://grulovia.neocities.org/
the-ultimate-tree,Tree,https://the-ultimate-tree.neocities.org/
leskowitz,Paul,https://leskowitz.neocities.org/
cyberneticdryad,Dryad,https://cyberneticdryad.neocities.org/
myblace,Ouroboros,https://myblace.one/
ems-lair,Bee,https://embarrasseddragon234.neocities.org/
aspookypeach,Bandit,https://aspookypeach.neocities.org/
manyface,manyface,https://manyface.neocities.org/
